Solvent,TPSA_solv,MW_solv,HeavyAtomCount_solv,Gsolv_sol,Dipole_sol,Polarizability_sol,HOMO_sol,LUMO_sol,MaxPartialCharge_sol,MinPartialCharge_sol,LogP_sol
PX_0.5-GTN_0.5,26.6448,99.34416512832,7.44,-0.11842227359958932,2.4834153600000004,130.73530520000003,-0.25262280000000004,-0.0988868,0.7699600000000001,-0.6986400000000001,1.6876752000000002
PX_0.6-GTN_0.4,21.8868,100.54668034112,7.540000000000001,-0.11016131759972031,2.4494847600000003,128.3873557,-0.2526098,-0.0987838,0.76836,-0.6942400000000001,1.7976332000000002
PX_0.7-GTN_0.3,17.1288,101.74919555392,7.640000000000001,-0.1019003615998513,2.41555416,126.0394062,-0.2525968,-0.0986808,0.7667600000000001,-0.68984,1.9075912000000002
PX_0.8-GTN_0.2,11.895,103.071962288,7.75,-0.0928133099999954,2.3782305,123.45666175,-0.2525825,-0.09856749999999999,0.765,-0.685,2.0285450000000003
PX_0.9-GTN_0.1,6.1854,104.51498054336,7.87,-0.08290016280015261,2.33751378,120.63912235000001,-0.2525669,-0.0984439,0.7630800000000001,-0.67972,2.1604946000000003
MX_0.1-OX_0.9,0.0,106.07825032,8.0,-0.07768182900030433,2.3161754,119.02339470000001,-0.252541,-0.098356,0.7619,-0.6767000000000001,2.30344
MX_0.2-OX_0.8,0.0,106.07825032000001,8.0,-0.07713490800013847,2.3139148000000005,118.8806704,-0.252542,-0.09835200000000001,0.7618,-0.6764000000000001,2.30344
MX_0.3-OX_0.7,0.0,106.07825031999998,8.0,-0.0765879869999726,2.3116542,118.73794609999999,-0.25254299999999996,-0.09834799999999999,0.7617,-0.6761,2.30344
MX_0.4-OX_0.6,0.0,106.07825032,8.0,-0.07604106599980673,2.3093936,118.5952218,-0.252544,-0.098344,0.7616,-0.6758,2.30344
MX_0.5-OX_0.5,0.0,106.07825032,8.0,-0.07549414499964087,2.3071330000000003,118.45249749999999,-0.252545,-0.09834000000000001,0.7615000000000001,-0.6755,2.30344
MX_0.6-OX_0.4,0.0,106.07825032,8.0,-0.07494722399947501,2.3048724,118.3097732,-0.252546,-0.098336,0.7614000000000001,-0.6752,2.30344
MX_0.7-OX_0.3,0.0,106.07825031999998,8.0,-0.07440030299930914,2.3026118,118.1670489,-0.25254699999999997,-0.098332,0.7613,-0.6749,2.30344
MX_0.8-OX_0.2,0.0,106.07825032000001,8.0,-0.07385338199914326,2.3003512,118.02432460000001,-0.252548,-0.098328,0.7612,-0.6746000000000001,2.30344
MX_0.9-OX_0.1,0.0,106.07825032,8.0,-0.0733064609989774,2.2980906,117.8816003,-0.252549,-0.09832400000000001,0.7611000000000001,-0.6743,2.30344
MX_0.1-NMP_0.9,18.685200000000002,99.62920082096001,7.08,-0.14760880800051365,2.6032415600000003,139.00760804,-0.25266960000000005,-0.09924920000000001,0.7757200000000001,-0.71448,0.40378719999999996
MX_0.2-NMP_0.8,17.0604,100.18998773391999,7.16,-0.14110017600036562,2.57651012,137.15815308,-0.2526592,-0.0991684,0.77444,-0.71096,0.5689744
MX_0.3-NMP_0.7,15.232500000000002,100.82087301099999,7.25,-0.13377796500019914,2.5464372500000003,135.07751625,-0.2526475,-0.0990775,0.773,-0.707,0.75481
MX_0.4-NMP_0.6,13.404600000000002,101.45175828807999,7.34,-0.12645575400003262,2.51636438,132.99687942000003,-0.2526358,-0.09898660000000001,0.77156,-0.7030400000000001,0.9406456000000001
MX_0.5-NMP_0.5,11.373600000000001,102.15274192928001,7.44,-0.11831996399984761,2.48295008,130.68506072000002,-0.25262280000000004,-0.09888560000000002,0.7699600000000001,-0.6986400000000001,1.1471296
MX_0.6-NMP_0.4,9.342600000000001,102.85372557048001,7.540000000000001,-0.1101841739996626,2.4495357800000006,128.37324202000002,-0.2526098,-0.09878460000000001,0.76836,-0.6942400000000001,1.3536136
MX_0.7-NMP_0.3,7.1085,103.62480757579999,7.65,-0.10123480499945908,2.4127800500000003,125.83024145000002,-0.25259550000000003,-0.0986735,0.7666,-0.6894,1.5807460000000002
MX_0.8-NMP_0.2,4.8744000000000005,104.39588958112,7.76,-0.09228543599925557,2.37602432,123.28724088000001,-0.2525812,-0.0985624,0.76484,-0.6845600000000001,1.8078784
MX_0.9-NMP_0.1,2.4372000000000003,105.23706995056,7.88,-0.08252248799903354,2.3359271600000002,120.51305844000001,-0.2525656,-0.0984412,0.76292,-0.6792800000000001,2.0556592
